Target?,"RA,Dec (J2000)....",WDS.......,DD............,ADS..,HD....,HIP...,*V1.11*,*V2.22*,PPPP.PPPPPP,*,eee.eeeeee,AAA.AAAAA,*,ee.eeeee,III.IIII,eee.eeee,NNN.NNNN*,eee.eee,e TTTTT.TTTTTT,*,eee.eeeeee,E.EEEEEE,e.eeeeee,OOO.OOOO,eee.eeee,EQNX,LAST,G,N,REF.....,PNGFILE...........
,000000.91-192955.8,00000-1930,LTT 9831,,224690,2,9,.,499.7989,d,18.8466,14.31,m,2.81,118.06,5.05,77.28,5.2,48397.3164,d,10.1805,0,.,0,.,,1991,9,n,HIP1997d,wds00000-1930p.png
,000019.10-441726.0,00003-4417,I  1477,,224750,25,6.8,7.56,384.1,y,.,1.023,a,.,75.3,.,141.6,.,2008.2,y,.,0.703,.,246.5,.,2000,2001,5,,Nov2008a,wds00003-4417u.png
,000123.69+393638.9,00014+3937,HLD  60,17178,224873,110,9.09,9.77,227,y,.,0.85,a,.,128.8,.,144.9,.,1902.5,y,.,0.66,.,145.5,.,2000,1961,4,n,Hei1963a,wds00014+3937a.png
,000210.15+270456.1,00022+2705,BU  733AB,17175,224930,171,5.8,8.9,26.28,y,.,0.83,a,.,49,.,290,.,1989.4,y,.,0.38,.,96,.,2000,,2,n,Sod1999,wds00022+2705a.png
,000225.33+104635.9,00024+1047,A  1249AB,17180,224994,190,9.37,9.91,129.72,y,.,0.366,a,.,97.2,.,59.4,.,1989.44,y,.,0.046,.,231.4,.,2000,1995,4,n,Zir2003,wds00024+1047a.png
,000238.92-082916.6,00026-0829,A   428,4,225015,210,9.82,10.07,288,y,.,0.27,a,.,139.9,.,25,.,1972.68,y,.,0,.,0,.,,1975,5,n,Zul1984b,wds00026-0829b.png
,000436.60+420533.2,00046+4206,CHR 122Aa,30,225218,365,6,,70.12,y,5.41,0.165,a,0.008,104.8,0.6,100.6,0.6,2050.07,y,0.96,0.515,0.027,295.1,4.4,2000,1996,4,n,Cve2008a,wds00046+4206k.png
,000446.84+381025.8,00048+3810,BU  862,34,,385,10.02,10.18,403,y,.,0.74,a,.,40,.,43,.,1942,y,.,0.68,.,198.8,.,,1984,4,n,Cou1986b,wds00048+3810b.png
,000520.15-054228.2,00053-0542,33 Psc,,28,443,4.63,.,72.93,d,.,4.57,m,1.08,35.97,37.26,66.3,25.28,48319.3281,d,5.0119,0.272,.,337.71,.,,1991,9,n,HIP1997d,wds00053-0542p.png
,000529.06+340620.4,00055+3406,HU 1201AB,51,39,461,8.2,9.76,47.06,y,.,0.138,a,.,91.5,.,128.1,.,1983.89,y,.,0.651,.,23.9,.,2000,1998,3,n,Zir2003,wds00055+3406a.png
